Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2007nq,0.045031,0.0010022056547560607,0.00031778650086738074,1.4018050293149311e-05,0.002362477489094308,3098.2,0.0008732309447566824,3.307468484732031e-18,1.2225233226593555e-18,1.6072274345059212e+37,5.986516037887253e+36,8.172082920155103e+36,3.0651657447953584e+36,36.912332764664164,0.16289415833022772,./fits files/Friedman Supernova/2915555329666187264/MISWZS01_29158_0269-fd-int.fits
SN2008gl,0.034017,0.0010017712012994906,0.0005541865013831702,3.245256583564145e-05,0.002336108490209496,2273.75,0.0010136199107014388,3.270551886293295e-18,1.4190678749820144e-18,8.922348411984959e+36,3.908663710212117e+36,7.911432080895405e+36,3.4966331317766055e+36,36.89825510404594,0.19194609254596498,./fits files/Friedman Supernova/2917138626410184704/MISWZS01_17216_0267-fd-int.fits
SNF20080522-011,0.03777,0.0010019056624074067,0.00045026849013933074,2.372248403243428e-05,0.08774920022889404,1939.0,0.006727174511838315,1.2284888032045166e-16,9.418044316573641e-18,4.154900140601053e+38,3.909178740007061e+37,2.9933129807810062e+38,3.227771792582146e+37,38.47615212904189,0.046831169589076474,./fits files/Friedman Supernova/2933393806315225088/MISWZN15_33671_0338-fd-int.fits
SN2005cf,0.006461,0.0010012143266978476,0.015178645460051397,0.004931532833498235,5.235332329580189,2921.95,0.04232877916339941,7.329465261412265e-15,5.926029082875917e-17,6.91658781964687e+38,2.1551227015918385e+38,1.6797509489236757e+40,7.561611677353639e+39,40.22524489510316,0.19550316241072077,./fits files/Friedman Supernova/3052176246487121920/GI1_026023_Arp254-fd-int.fits
SN2011de,0.029187,0.0010016188219243009,0.0007511870411215415,5.1348079164974215e-05,0.0047123013372231985,2249.7,0.0014472855754840237,6.5972218721124784e-18,2.0261998056776334e-18,1.3154074786607738e+37,4.1440192930669596e+36,1.580987282822934e+37,5.0965889700143095e+36,37.198928376559635,0.14000242065540316,./fits files/Friedman Supernova/3057911299137601536/GI1_047105_UGC09992-fd-int.fits
SN2005eu,0.03412,0.001001774704144612,0.0005508705925058629,3.2160036676430004e-05,0.047132701520026896,4480.2,0.0032434891829653525,6.598578212803766e-17,4.5408848561514934e-18,1.8113458276844365e+38,1.65634803162797e+37,1.5965074389272769e+38,1.7320510638712884e+37,38.20317094647555,0.04711661224199419,./fits files/Friedman Supernova/3082962572064849920/GI2_034001_UGC1922-fd-int.fits
SN2006E,0.002686,0.0010011970825267245,0.08768260156862515,0.08810569778045468,2.237027017029358,1675.0,0.03654502036410752,3.131837823841101e-15,5.116302850975053e-17,5.077786776007787e+37,3.7943110958836814e+37,7.12373687569799e+39,8.920435718533193e+39,39.852707869867174,0.5438291835213309,./fits files/Friedman Supernova/3116282172432973824/GI3_046017_NGC5338-fd-int.fits
SN2007qe,0.024,0.0010014810949109446,0.00110845655195636,9.234367990048513e-05,0.01180741646816608,1606.1,0.002711384746231973,1.6530383055432513e-17,3.7959386447247626e-18,2.211173780830488e+37,5.414106707946482e+36,3.921584103801073e+37,1.0142649393969359e+37,37.593461533492494,0.1123244216389678,./fits files/Friedman Supernova/3166032874566582272/GI4_042049_AOHI235137p272810-fd-int.fits
SNF20080514-002,0.022095,0.0010014372533958503,0.0013067482120049836,0.00011836818019656393,0.019419699358773655,1570.3,0.0035166563273698994,2.7187579102283117e-17,4.9233188583178595e-18,3.0734055480375607e+37,6.24499047663359e+36,6.425867527462845e+37,1.4295661967139713e+37,37.80793176810549,0.09661772641513362,./fits files/Friedman Supernova/3186087966657216512/GI5_002024_HI1328461p105719-fd-int.fits
SN2010ai,0.018369,0.0010013619743254806,0.0018875726040416022,0.00020619565160921282,0.0076556618507477026,18620.45,0.0006412041041783295,1.0717926591046784e-17,8.976857458496613e-19,8.326762427584094e+36,1.1549336137888472e+36,2.5147789821873085e+37,4.439930033986848e+36,37.40049982198266,0.07667620603858634,./fits files/Friedman Supernova/3187917554207162368/GI5_025001_COMA-fd-int.fits
SN2005ch,0.027,0.0010015574788618097,0.0008769673171590443,6.485507629283024e-05,0.03091304481282978,8335.15,0.0019258132448317544,4.3278262737961694e-17,2.6961385427644562e-18,7.360139029164969e+37,7.215834383232524e+36,1.0327362205319e+38,1.268244045221473e+37,38.013989409035325,0.053333211288228516,./fits files/Friedman Supernova/3383190819233071104/WDST_J1423p0149-fd-int.fits
SN2011df,0.014547,0.0010012991554340914,0.003004735264253154,0.00041626658004855215,0.04779298011070609,192.0,0.01577725473630307,6.691017215498853e-17,2.20881566308243e-17,3.241074361296748e+37,1.1611664291378512e+37,1.5581712683928168e+38,5.985221977984686e+37,38.192615191995046,0.16682048570218636,./fits files/Friedman Supernova/6371091720297250816/AIS_5_sg40-fd-int.fits
SN2010gn,0.0365,0.0010018585895544463,0.0004818776520034183,2.628013831418996e-05,0.015840993616226425,177.0,0.00946029282336899,2.2177391062716997e-17,1.3244409952716586e-17,6.991510303308065e+37,4.1939234977775463e+37,5.390484110265275e+37,3.246869111356922e+37,37.731627770191494,0.2615901113295431,./fits files/Friedman Supernova/6371302827603525632/AIS_11_sg41-fd-int.fits
