sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2008Z',0.02099,0.0010014134828151779,1684.3,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2008af',0.033507,0.0010017540129757527,1620.0,6.403079567715033e+35,1.6462469837300556e+36,3.114633170306148e+35,8.009929474070306e+35,5.30024617637422e+36,3.977408774366226e+36,73.0,-3.024059520067447e+36,1.2386522892197497e+37,-1.4709853267594663e+36,6.0257763157267e+36,2.0076862035084927e+37,4.809490866914799e+37
b'SN2008fr',0.039,0.001001952785047292,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2008fv',0.009346,0.0010012371003813355,1684.15,1.000330676540299e+38,2.250997182627531e+37,3.8257673692095735e+36,1.1875675346917294e+36,5.801339176116755e+37,1.7626154304200173e+37,108.0,1.0964947359887378e+38,2.930606555934651e+37,4.193547073817829e+36,1.435353079184668e+36,5.952372629633923e+37,1.8261378381262635e+37
b'SN2008fx',0.059,0.0010029303981154546,118.0,-1.614540455049816e+36,1.3026878909960786e+37,-2.4076541619385798e+36,1.9426264772502943e+37,-5.954431886762771e+37,9.725027600292733e+37,112.0,-5.116191831992215e+36,2.3334079527693583e+37,-7.629428249409926e+36,3.479746418888474e+37,-1.509380296254357e+38,1.990429882001807e+38
b'SN2008gb',0.037626,0.0010019002442059912,96.15,2.1944481091035137e+37,1.7190234476097893e+37,1.3435720337215976e+37,1.0548780342003597e+37,1.1865779325435265e+38,4.337065249874451e+37,,,,,,,
b'SN2008gl',0.034017,0.0010017712012994906,2273.75,3.6292767563324886e+35,1.521850555681382e+36,1.8191212340943454e+35,7.628791767736764e+35,4.781231755634481e+36,3.838498687659591e+36,2273.75,2.2112242905427764e+36,3.4385063633957366e+36,1.1083434332344582e+36,1.7247177977398885e+36,-5.448413922811055e+36,6.814716337007155e+36
b'SN2008hm',0.019664,0.0010013865668961337,128.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
b'SN2008hs',0.017349,0.001001343782756464,3144.0,4.2128171227045424e+35,7.819994007241191e+35,5.532699255054476e+34,1.0289699986775301e+35,2.4787184351346614e+36,6.591448849824923e+35,,,,,,,
b'SN2008hv',0.012549,0.0010012721212862288,2998.05,9.321695326815674e+36,1.680613065652204e+36,6.418507419112239e+35,1.543521483921742e+35,4.8446721853824515e+36,1.114791499892753e+36,2998.05,1.8320159338386438e+36,1.2363058946848845e+36,1.2614452040122646e+35,8.746157864339412e+34,8.282561055561869e+35,4.2325975331593605e+35
